ID,Title,Author,Units,Illustrator,Genre,Publisher,Publication Year,Price,Description,Condition,Condition Description,Format,Features,Language,Topic,Book Series,Type,Narrative Type,Edition,Manufactured,Inscribed,Intended Audience,Vintage,Signed,Pictures,Height,Width,Length,Weight,Weight Minor
155,Frankenstein,Mary Shelley,1,,"Horror, fantasy, mystery",Oxford University Press,1988,12,"The story about a student of natural philosophy who learns the secret of impoarting life toa create constructed from bones he has collected. This story is not a study of the macabre, but rather a study of ow man uses his power, through science, to manipulate and pervert his own destiny.",Good,"Some wear and aging, but no missing pages or major damages. See pictures!",Paperback,,English,Horror,,Novel,Fiction,,,,"young adults, adults",,,14,2,7,10,0,13
156,The Ominous Omnibus - A Series of Unfortunate Events,Lemony Snicket,1,Brett Helquist,"Children, mystery, suspense, drama",Harper Entertainment,2005,12,This book collects A Series of Unfortunate Events 1-3 and contains a poster inside the book jacket!,Good,"Dust jacket has some wear, but no major tears or damage. See pictures!",Hardback,Dust Jacket,English,Mystery,,Novel,Fiction,,,,"young adults, adults",,,24,2,7,10,2,3
157,Green Eggs and Ham Leapfrog,Dr. Seuss,,Dr. Seuss,"Children, fantasy, comedy, adventure",Leap Frog,2008,5,"The classic Dr. Seuss story, for the Leap Frog device.",,"Good condition, no major wear or tears.",Hardback,,English,Children,,Novel,Fiction,,,,"children, kids",,,15,2,7,10,1,2
158,1984,George Orwell,,,"Drama, suspense, alternate history, dystopia",Signet Classics,1977,8,"A truly horrifying tale about a world where the governments of the world control every facet of our lives. No one is safe under the eyes of Big Brother and the party. The Thought Police, endless propaganda and a continuous re-writing of history. A must read! Learn to think for yourself and speak up!",Good,"Good condition, no major wear or tears.",Paperback,,English,Dystopia,,Novel,Fiction,,,,"young adults, adults",,,12,2,7,10,0,14
159,The Wide Window - A Series of Unfortunate Events,Lemony Snicket,1,Brett Helquist,"Children, mystery, suspense, drama",Scholastic,2001,5,"The third book in the Series of Unfortunate Events. The Baudelaire orphans make their way through a cold and uncaring world, trying to find some semblance of peace, as they try and escape from the clutches of Count Olaf.",Good,"Good condition, no major wear or tears.",Paperback,,English,Mystery,,Novel,Fiction,,,,"young adults, adults",,,15,2,7,10,0,13
160,Treasure Island,Robert Louis Stevenson,1,A.J. McAllister,"Adventure, fantasy, suspense, ",Baronet Books,1989,10,Young JIm Hawkins and his friends set sail for Treasure Island and race to find buried treasure before they are captured by the evil Long John Silver!,Good,"Good condition, no major wear or tears.",Hardback,,English,Adventure,,Novel,Fiction,,,,"young adults, adults",,,17,2,7,10,1,3
161,The Adventures of Huckleberry Finn,Mark Twain,1,,"Adventure, children",Reader's Digest,1989,8,"A tale about a boy named Huckleberry Finn. Be warned, this was written in the old days and contains some pretty racist language. ",Good,"Some writings from previous owner, but book is in otherwise good shape.",Hardback,,English,Adventure,,Novel,Fiction,,,,"young adults, adults",,,15,2,7,10,1,6
162,iDisorder - Understanding Our Obsession with Technology,Larry Rosen,1,,"Educational, philosophy, science, human studies, culture, technology",St. Martin's Press,2012,5,"Are we obsessed with technology? Probably. Larry Rosen has a few things to say about that. He is a doctor, so I guess it's worth reading? I dont know, you be the judge.",Good,"Good condition, no major wear or tears.",Paperback,,English,Technology,,,Non-Fiction,,,,"young adults, adults",,,14,2,7,10,1,3
163,John Keats - Lyric Poems,John Keats,,,Poetry,Dover Publications,1991,15,"A collection of 30 poems by the legendary poet, John Keats.",Good,"Good condition, no major wear or tears.",Paperback,,English,Poetry,,,Fiction,,,,"young adults, adults",,,12,2,7,10,0,8
164,The Carnivorous Carnival - A Series of Unfortunate,Lemony Snicket,1,Brett Helquist,"Children, mystery, suspense, drama",Scholastic,2002,5,The 9th book in the Series of Unfortunate Events. The Baudelaire orphans find themselves in the belly of the beast! Count Olaf has stopped at nothing to pursue them in the hopes of stealing the fortune they are set to inherit. A truly sad and tragic tale. Read it!,Good,"Good condition, no major wear or tears.",Hardback,,English,Mystery,,Novel,Fiction,,,,"young adults, adults",,,15,2,7,10,1,5
165,Dragon of the Red Dawn - Magic Tree House,Mary Pope Osborne,1,Sal Murdocca,"children, adventure, fantasy",Random House,2007,5,"The 37th book in the Magic Tree House saga! Set in Edo, Japan.",Good,"Good condition, no major wear or tears.",Hardback,,English,Fantasy,,Novel,Fiction,,,,"young adults, adults",,,22,2,7,10,1,2
166,"The Golden Guide to Handicapping, Training, Racing",Katcha Goodwon,1,,"horses, raching, horse racing",Westcliff Publications,1990,25,"This book will teach you how to think for yourself and not rely on formulas or numbers. If you want to learn how to train your horse and win in the racing game, then this is the book for you, or so the author claims!",Good,"Good condition, no major wear or tears.",Paperback,,English,Horse Racing,,,Non-Fiction,,,,"young adults, adults",,,14,2,7,10,1,5
167,The Berenstain Bears - Spooky Old Tree,Stan and Jan Berenstain,1,Stan and Jan Berenstain,"mystery, children, suspense, fantasy",Random House,2002,15,A cute story about 3 bears that venture into a spooky old tree and have a frightful adventure.,Good,"Good condition, no major wear or tears.",Hardback,,English,Mystery,,Kid's book,Fiction,,,,"young adults, adults",,,13,2,7,10,0,13
168,Great Expectations,Charles Dickens,1,,"drama, children, britan",Dover Publications,2001,8,"A classic tale about Pip, a young lad accustomed to working hard jobs, who dreams of one day becoming a gentleman.",Good,"Good condition, no major wear or tears.",Paperback,,English,Drama,,Novel,Fiction,,,,"young adults, adults",,,11,2,7,10,1,2
169,The Mummy or Ramses the Damned,Anne Rice,1,,"Mystery, suspense, drama, monsters, fantasy",Ballantine Books,1989,15,"Ramses the Great lives! After drinking the elixir of life, he becomes Ramses the Damned, doomed forever to wander the Earth, desperate to quell hungers that can never be satisfied, - for food, for wine, for women. ",Good,"Good condition, no major wear or tears.",Paperback,,English,Drama,,Novel,Fiction,,,,"young adults, adults",,,19,2,7,10,2,0
170,Slaughter House-Five,Kurt Vonnegut,1,,"War, suspense, drama, comedy",Dell Publishing,1969,12,One of the world's great anti-war books. A sad book without tears centering on the firebombing of Dresden.,Good,"Good condition, some slight wear. See pictures.",Paperback,,English,War,,Novel,Fiction,,,,"young adults, adults",,,13,2,7,10,0,10
171,Grovers Just So-So Stories,Nancy Hall,1,Rick Wetzel,"Children, fantasy, comedy, adventure",Golden Press Book,1992,15,A cute Sesame Street book that tells the story of How a Monster gets his fur and how the friendly Honker got his Honk!,Good,"Good condition, no major wear or tears.",Hardback,,English,Fantasy,,Novel,Fiction,,,,"young adults, adults",,,13,2,7,10,1,2
172,Emerald Fairy Tales,Jane Carruth,1,Mary Dinsdale,"Fairy tales, folk tales, fantasy",Rand McNally and Company,1978,15,"A collection of fairy tales and folk stories: Snow White and the Seven Dwarfs, The White Dove, The Little Drummer Boy, Rumpelstiltskin, Jack the GIant Killer, The Brother and the Sister and Hans and the Little Iron Man",Good,"Good condition, no major wear or tears.",Hardback,,English,Fantasy,,,Fiction,,,,"children, kids",,,24,2,10,13,1,10
173,Princess Collection Love and Friendship Stories,Sarah E. Heller,1,Disney,"Fairy tales, folk tales, fantasy",Disney,1999,15,"A large collection of Disney stories such as: Cinderella, Sleeping Beauty, The Little Mermaid, Beauty and the Beast, Mulan, Dumbo, The Fox and the Hound, A Bug's Life, Bambi, Aladdin, Lion King. See pictures",Good,"Good condtion, some wear on cover and bedazzled jewels from previous owner, but otherwise in good shape. No missing pages. See pictures.",Hardback,,English,Fantasy,,,Fiction,,,,"children, kids",,,24,2,10,13,3,6
174,Alf Summer Camp Adventure,Harry Coe Verr,1,Eldon Doty,"Fantasy, sci fi, family, children",Checkerboard Press,1987,15,"A summer camp adventure with the 80's favorite alien, Alf! Coloful illustrations that depict Alf's summer camp shenanigans! See pictures!",Good,"Good condition, some slight wear and aging. See pictures. No missing pages or major tears.",Paperback,,English,Fantasy,,,Fiction,,,,"children, kids, young adults",,,17,2,7,10,0,11
175,Wait Till the Moon is Full,Margaret Wise Brown,1,Garth Williams,"Fantasy, animals, children, fairy tale",Harper and Row,1988,12,"A cute story about a little raccoon that wants to go outside and see the night sky, but must wait until the moon is full. Beautiful drawings!",Good,"Good condition, no major wear or tears.",Paperback,,English,Fantasy,,,Fiction,,,,"children, kids",,,23,2,7,10,0,11
176,Obi-1 2 3 Galactic Basic Edition,Calliope Glass,1,Katie Cook,"educational, sci fi, children, ",Lucas Film Press,2017,10,Teach your little ones how to count with this cute Star Wars book! NIce drawings and easy to follow words will entertain your kids and give them an unforgettable Star Wars lesson.,Good,"Good condition, no major wear or tears.",Hardback,,English,Sci Fi,,,Fiction,,,,"children, kids",,,17,2,7,10,1,3
177,An Astro-Nutty Adventure,Brian Houlihan,1,Loter Inc,"Educational, sci fi, children, ",Phoenix International Publications,2015,5,Professor Von Drake plans an outerspace adventure with the Mickey Mouse clubhouse gang! Cute book with vivid and colorful illustrations!,Good,"Good condition, no major wear or tears.",Hardback,,English,Sci Fi,,,Fiction,,,,"children, kids",,,15,2,7,10,0,11
178,The Cat in the Hat in English and Spanish,Dr. Seuss,1,Dr. Seuss,"children, comedy, fantasy, adventure, poetry",Random House,1995,10,The classic tale of a pair of children that get into all sorts of trouble with a sentient talking Cat that wears a silly hat. Lots of rhyming ensues.,Good ,"Good condition, no major wear or tears.",Hardback,,English,Fantasy,,,Fiction,,,,"children, kids",,,15,2,7,10,1,2
179,Look Before You Bounce Vol 4 Winnie the Pooh,Ronald Kidd,1,Arkadia Illustration,"children, fantasy, comedy, animals, adventure, educational",Advance Publishers,1996,10,"A fun book about Winnie the Pooh, Tigger and friends that will help your children learn and grow. Easy to read and has beautiful, colorful drawings!",Good ,"Good condition, no major wear or tears.",Hardback,,English,Animals,,,Fiction,,,,"children, kids",,,14,2,10,13,1,3
180,The Runaway Soup and other Stories ,Michaela Muntean,1,Tom Cooke,"children, fantasy, comedy, educational",Golden Press Book,1992,15,"A fun Sesame Street story about Grover cooking a pot of soup, that somehow becomes slightly sentient and grows to the point where it runs away. How will they get the soup back into the pot? If the soup is conscious, is it immortal to eat it? I'm not sure, and the book does not address this issue, as it is for children, but it is defintely something to consider. Beautiful drawings and easy to read sentences for your little ones, while you ponder what it means to be conscious and sentient.",Good ,"Good condition, no major wear or tears.",Hardback,,English,Fantasy,,,Fiction,,,,"children, kids",,,14,2,10,13,1,3
181,Beauty and the Beast The Enchanted Rose,Disney,1,Disney,"children, fantasy, fairy tale,",Leap Frog,2010,5,"The classic Disney tale, in Leap Frog format!",Good,"Good condition, no major wear or tears.",Hardback,,English,Fantasy,,,Fiction,,,,"children, kids",,,15,2,7,10,0,14
182,Growth Spurth Zits Sketchbook 2,Jerry Scott,1,Jim Borgman,"comics, comedy, teenagers",Andrews McMeel Publishing,1999,20,A collection of the 90's comic strips Zits! Super funny and relatable.,Good,"Good condition, some wear and aging. See pictures.",Paperback,,English,Teenagers,,,Fiction,,,,"children, kids, teenagers, young adults, adults",,,22,2,7,10,1,3
183,The Wizard of Oz,L. Frank Baum,1,Thomas Sperling,"fantasy, fairy tales, adventure",Modern Publishing ,2002,10,"The classic tale The Wizard of Oz. Dorothy finds herself in a strange land. With the help of her friends The Scarecrow, Lion and Tin Man, she must make her way to the Emerald Wizards lair and get back to Kansas! Beautifully illustrated!",Good,"Good condition, no major wear or tears.",Hardback,,English,Fantasy,,,Fiction,,,,"children, kids, teenagers, young adults, adults",,,17,2,7,10,1,3
184,The World of Delacroix 1798-1863 Eugene Delacroix,Tom Prideaux,1,Eugene Delacroix,"Art, French Art, Romantic Art, Biography, France",Time Life Library of Art,1966,15,An insightful book that collects various art works of Eugene Delacroix. The author gives an account of Delacroix's life and commentaries on his art style and inspiration. Very beautiful renditions of French Romantic Period artwork. See pictures!,Good,"Good condition, some wear and aging on sleeve cover, but book itself is in great condition. No missing pages or major wear.",Hardback,,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"adults, young adults, teenagers, old adults",,,24,2,11,14,3,2
185,The World of Velazquez 1599-1660 Diego de Silva Velasquez,Dale Brown,1,Diego de Silva Velazquez,"Art, Spanish Art, Baroque Period, Biography, Spain",Time Life Library of Art,1972,15,"A wonderful art book that follows the life and works of the Spanish painter Diego de Silva Velazquez, the leading artist in the court of King Philip IV of Spain and Portugal, and of the Spanish Golden Age. Book contains various of Velazquez' art pieces, as well as a commentary on his life and styles of art work. Beautifully rendered art of the baroque art period. Comes with a book sleeve. See pictures.",,"Good condition, some wear and age on outer book sleeve, but book itself is in great condtion. See pictures.",Hardback,Dust Jacket,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"adults, young adults,",,,24,2,11,14,3,2
186,The World of Turner 1775-1851 Joseph Mallord William Turner,Diana Hirsh,1,Joseph Mallord William Turner,"Art, English Art, Romantic Art, Paint, Water Color, England, Biography",Time Life Library of Art,1972,15,"This marvelous book follows the works and life of the English Romantic painter, printmaker and watercolourist, Joseph Mallord William Turner. Best known for his expressive colouring, imaginative landscapes and turbulent, often violent marine paintings. Book comes with a book sleeve. See pictures!",Good,"Good condition, book sleeve has some wear of the ages, but book is in great condition. No missing pages or tears. See pictures",Hardback,Dust Jacket,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults, old adults",,,24,2,11,14,3,10
187,The World of Rubens 1577-1640 Sir Peter Paul Rubens,C.V Wedgewood,1,Peter Paul Rubens,"Art, Flemish Art, Baroque Art, Christian Art, Biography",Time Life Library of Art,1972,15,"The World of Rubens follows the life and works of Sir Peter Paul Rubens, widely considered the most influential artist of the Flemish Baroque tradition. Rubens's highly charged compositions reference erudite aspects of classical and Christian history. Wonderful art and commentaries on Ruben's art and life.",Good,"Good condition, some wear on book sleeve cover, but book itself is in great condtion. See pictures.",Hardback,Dust Jacket,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,3,10
188,The World of Whistler 1843-1903 James McNeill Whistler,Tom Prideaux,1,James McNeill Whistler,Art,Time Life Library of Art,1970,15,"Contains the the art works of James Abbott McNeill Whistler, an American painter in oils and watercolor, active during the American Gilded Age. He was a leading proponent of the credo ""art for art's sake"". Also contains a biography and commentaries on his style of art.",Good,"Good condition, some wear on book sleeve cover, but book itself is in great condtion. See pictures.",Hardback,Dusk,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,3,10
189,The World of Gainsborough 1727-1788 Thomas Gainsborough,Jonathan Norton Leonard,1,Thomas Gainsborough,Art,Time Life Library of Art,1969,15,Contains a biography and collection of Thomas Gainsborough's works of art. Gainsborough was an English portrait and landscape painter. He was considered one of the most important British artists of the second half o the 18th century.,Good,"Good condition, some wear on book sleeve cover, but book itself is in great condtion. See pictures.",Hardback,Dusk,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,3,10
190,The World of Rodin 1840-1917 Auguste Rodin,William Harlan Hale,1,Francois Auguste Rene Rodin,Art,Time Life Library of Art,1969,15,"A biography and collection of art scupltures by August Rodin. Rodin was generally considered the founder of modern sculpture. He was the creator of the renowned sculpture, The Thinker.",Good,"Good condition, some wear on book sleeve cover, but book itself is in great condtion. See pictures.",Hardback,Dusk,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,3,10
191,The World of Winslow Homer 1836-1910 Art Book,James Thomas Flexner,1,Winslow Homer,Art,Time Life Library of Art,1966,15,"A biography and collection of art by Winslow Homer, a landscape painter and illustrator best know for his marine ocean subjects. Considered one of the foremost painters in 19th century America. Homer was a self-taught artist and behan his career working as a commercial illustrator.",Good,"Good condition, some wear on book sleeve cover, but book itself is in great condtion. See pictures.",Hardback,Dusk,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,3,10
192,American Painting 1900-1970 Art Book,Time Life,1,Jackson Pollock,Art,Time Life Library of Art,1972,15,"An exposition on American paintings and artworks from 1900-1970. Focuses on various artists like Jackson Pollock, Robert Henri, John Sloan, George Bellows, George Luks.",Good,"Good condition, some wear on book sleeve cover, but book itself is in great condtion. See pictures.",Hardback,Dusk,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,3,10
193,The World of Marcel Duchamp 1887-1968 French,Calvin Tomkins,1,Henri Robert Marcel Duchamp,Art,Time Life Library of Art,1974,15,"A biography and collection of artwork by Henri Robert Marcel Duchamp, a French painter, sculptor and chess player whose work is associated with Cubism, Dad and conceptual art.",Good,"Good condition, some wear on book sleeve cover, but book itself is in great condtion. See pictures.",Hardback,Dusk,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,3,10
194,The World of Vermeer 1632-1675 Johannes Vermeer,Hans Koning,1,Johannes Vermeer,Art,Time Life Library of Art,1973,15,"A biography and collection of artwork by Johannes Vermeer, a Dutch Baroque Period painter who specialized in domestic interior scenes of middle-class life. Considered one of the greatest painters of the Dutch Golden Age..",Good,"Good condition, some wear on book sleeve cover, but book itself is in great condtion. See pictures.",Hardback,Dusk,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,3,10
195,The World of Copley 1738-1815 Art Book,Alfred Frankenstein,1,John Singleton Copley,Art,Time Life Library of Art,1973,15,"A biography and collection of artwork by John Singleton Copley, an Anglo-American painter active in both colonial and America and England.",Good,"Good condition, some wear on book sleeve cover, but book itself is in great condtion. See pictures.",Hardback,Dusk,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,3,10
196,The World of Goya 1746-1828 Art Book,Richard Schnickel,1,Francisco Goya,Art,Time Life Library of Art,1971,15,"A biography and collection of artworks by Francisco Goya, a Spanish romantic painter and printmaker. He is considered the most important Spanish artist of the late 18th and early 19th centuries. His painting, drawings and engravings reflected contemporary historical upheavals and influenced important 19th and 20th century painters.",Good,"Good condition, some wear on book sleeve cover, but book itself is in great condtion. See pictures.",Hardback,Dusk,English,Art,Time Life Library of Art,Art Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,3,10
197,"The Works of Stevenson, Scottish Novelist",Robert Louis Stevenson,1,,Drama,Black's Readers Service Company,1930,15,"Contains the stories and written works of Robert Louis Stevenson, a Scottish novelist, essayist poet and travel writer. Best known for Treasure Island and Strange Case of Dr. Jekyll an Mr. Hyde.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,19,2,7,10,1,12
198,"The Works of Harte, American short stories",Bret Harte,1,,Drama,Black's Readers Service Company,1932,15,"Contains the written works of Bret Harte, an American short story writer and poet best remembered for short fiction featuring miners, gamblers, and other romantic figures of the California Gold Rush. In a career spanning more than four decades, he also wrote poetry, plays, lectures, book reviews, editorials and magazine sketches. ",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,20,2,7,10,1,12
199,The Works of Gilbert and Sullivan,Gilbert and Sullivan,1,,Drama,Black's Readers Service Company,1930,15,"Contains the works of the Victorian-era theatrical partnership of the dramatist W. S. Gilbert and the composer Arthur Sullivan, who jointly created fourteen comic operas between 1871 and 1896, of which H.M.S. Pinafore, The Pirates of Penzance and The Mikado are among the best known.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,21,2,7,10,1,12
200,The Works of Gautier French Poetry,Theophile Gautier,1,,Poetry,Black's Readers Service Company,1928,15,"Contains the written works of Pierre Jules Théophile Gautier, a French poet, dramatist, novelist, journalist, and art and literary critic.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,24,2,7,10,1,12
201,"The Works of Nathaniel Hawthorne, American",Nathaniel Hawthonre,1,,Drama,Black's Readers Service Company,1930,15,"Contains the written works of Nathaniel Hawthorne, an American novelist and short story writer. His works often focus on history, morality, and religion. He was born in 1804 in Salem, Massachusetts, from a family long associated with that town.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,24,2,7,10,1,12
202,"The Works of Maupassant, French Short Stories",Guy de Maupassant,1,,Drama,Black's Readers Service Company,1903,20,"120 year old book containing the written works of Henri René Albert Guy de Maupassant, a 19th-century French author, remembered as a master of the short story form, as well as a representative of the Naturalist school, who depicted human lives, destinies and social forces in disillusioned and often pessimistic terms.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,24,2,7,10,1,12
203,The Works of Gustave Flaubert French novels,Gustauve Flaubert,1,,Drama,Black's Readers Service Company,1904,20,"119 year old book containing the written works of Gustave Flaubert, a French novelist. Considered the leading exponent of literary realism in his country and abroad.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,24,2,7,10,1,12
204,World's Great Adventure Stories,Alexandre Dumas,1,,Adventure,Black's Readers Service Company,1929,15,"A large collection of classic adventure stories from the world's greatest authors such as Alphonse Daudet, Guy de Maupassant, Alexandre Dumas, H. Rider Haggard, Leonid Andreyev, Theophile Gautier, Hugh Clifford and much much more.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,24,2,7,10,1,12
205,"The Works of Wilde, Irish Poetry",Oscar Wilde,1,,Drama,Black's Readers Service Company,1927,15,"A collection of the written works of Oscar Fingal O'Fflahertie Wills Wilde, an Irish poet and playwright. Best known for The Portrait of Dorian Gray.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,22,2,7,10,1,12
206,"The Poems of Browning, English poetry",Robert Browning,1,,Drama,Black's Readers Service Company,1932,15,"The written works of Robert Browning, an English poet and playwright whose dramatic monologues put him high among the Victorian poets. He was noted for irony, characterization, dark humour, social commentary, historical settings and challenging vocabulary and syntax.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,24,2,7,10,1,12
207,"The Works of Ibsen, Norwegian playwright",Henrik Ibsen,1,,Theatre,Black's Readers Service Company,1928,15,"The written works of Henrik Ibsen, a Norwegian playwright and theatre director. As one of the founders of modernism in theatre, Ibsen is often referred to as ""the father of realism"" and one of the most influential playwrights of his time.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,24,2,7,10,1,12
208,"The Works of Chekhov, Russian stories",Anton Chekhov,1,,Drama,Black's Readers Service Company,1929,15,"The written works of Anton Chekhov,  a Russian playwright and short-story writer who is considered to be one of the greatest writers of all time. His career as a playwright produced four classics, and his best short stories are held in high esteem by writers and critics.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",,,English,Stories,,Novel,Fiction,,,,"young adults, adults, children",,,23,2,7,10,1,12
209,"Weatherproofing - Repair Book, Insulation Guide",Time Life,1,,Repair,Time Life,1977,10,"A handy book that will teach you everything you need to know about weatherproofing, insulation, plugging leaks and cracks, and guarding against nature's critters. Has a lot of illustrations",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
210,Basic Electrical Wiring - Home Repair,Time Life,1,,Repair,Time Life,1990,10,"Basic wiring shows you how to repair or extend your home's electrical wiring, with step by step directions, safety advice and hundreds of color illustrations.",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
211,Major Appliances - Fix It Yourself,Time Life,1,,Repair,Time Life,1987,10,This repair book will show you how to work on and repair various home appliances with step by step directions and illustrations.,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,22,2,11,14,2,13
212,Kitchens and Bathrooms - Home Repair,Time Life,1,,Repair,Time Life,1989,10,"This DIY repair book will show you everything you need to know about working on kitchens and bathrooms, from repairs to new improvements and extensions. With illustrations, as well.",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,23,2,11,14,2,13
213,New Living Spaces - Home Repairs,Time Life,1,,Repair,Time Life,1980,10,This DIY repair book will show you how to add new rooms and extensions to your house. With step by step directions and illustrations.,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
214,Heating and Cooling - Home Repair,Time Life,1,,Repair,Time Life,1990,10,This book shows you everything you need to know about DIY heating and cooling for your house. With step by step directions and illustrations.,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
215,Plumbing - Home Repair and Improvement,Time Life,1,,Repair,Time Life,1990,10,"Everything you need to know about DIY plumbing repairs, installations and modifications. With illustrations, as well.",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
216,"Decks, Porches and Patios - Home Repair",Time Life,1,,Repair,Time Life,1990,10,"Everything you need to know about building decks, porches and patios for your house. Comes with directions and illustrations. See pictures.",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
217,Wood Finishing - The Art of Woodworking,Time Life,1,,Repair,Time Life,1992,10,"Everything you always wanted to know about wood finishing, from preparation to changing colors and protective or decorative finishes.",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
218,Woodworking Machines - Art of Wood,Time Life,1,,Repair,Time Life,1992,10,All you need to know about the most essential wood working machine and how to operate them. ,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
219,Floors and Stairways - Home Repair,Time Life,1,,Repair,Time Life,1990,10,All you need to know about DIY repairs and building floors and stairways for your house or projects.,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
220,Paint and Wallpaper - Home Repair,Time Life,1,,Repair,Time Life,1990,10,All you need to know about paint and wallpaper from choosing the most efficient tools to preparing surfaces for smooth finishes. See pictures!,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
221,Shelves and Cabinets - Home Repairs,Time Life,1,,Repair,Time Life,1990,10,This book shows you how to increase display and storage space in your home with step by step directions and illustrations. DIY shelf and cabinet building!,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
222,Kitchens - Home Repair Improvement,Time Life,1,,Repair,Time Life,1990,10,Everything you need to know about DIY kitchen repairs and improvements.,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
223,Bathrooms - Home Repair Improvement,Time Life,1,,Repair,Time Life,1990,10,This book shows you how to repair or renovate any bathroom yourself. Step by step directions and illustrations.,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
